,PID,CM_ID,GIS_ID,ST_NUM,ST_NAME,ST_NAME_SUF,UNIT_NUM,ZIPCODE,PTYPE,LU,AV_LAND,AV_BLDG,AV_TOTAL,GROSS_TAX,LAND_SF,YR_BUILT,YR_REMOD,GROSS_AREA,LIVING_AREA,NUM_FLOORS,STRUCTURE_CLASS,R_BLDG_STYL,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RMS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_BTH_STYLE,R_BTH_STYLE2,R_BTH_STYLE3,R_KITCH,R_KITCH_STYLE,R_KITCH_STYLE2,R_KITCH_STYLE3,R_HEAT_TYP,R_AC,R_FPLACE,R_EXT_CND,R_OVRALL_CND,R_INT_CND,R_INT_FIN,R_VIEW,S_NUM_BLDG,S_BLDG_STYL,S_UNIT_RES,S_UNIT_COM,S_UNIT_RC,S_EXT_FIN,S_EXT_CND,U_BASE_FLOOR,U_NUM_PARK,U_CORNER,U_ORIENT,U_TOT_RMS,U_BDRMS,U_FULL_BTH,U_HALF_BTH,U_BTH_STYLE,U_BTH_STYLE2,U_BTH_STYLE3,U_KITCH_TYPE,U_KITCH_STYLE,U_HEAT_TYP,U_AC,U_FPLACE,U_INT_FIN,U_INT_CND,U_VIEW,lat,lng
34570,400786000,400786000,400786000,14,BRADDOCK,PK,,2116,995,CM,0,0,0,0,2205.0,1875,2015,0.0,0.0,4.0,R,,,,,,,,,,,,,,,,,,,,,,,,RM,3.0,0.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.3440245,-71.0786196
34583,400796002,400796000,400796000,195,W NEWTON,ST,1,2118,102,CD,0,1797700,1797700,1894776,1896.0,1900,2017,1896.0,1896.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,N,T,6,3.0,4.0,0.0,M,M,M,F,S,F,C,2.0,N,G,F,42.3437096,-71.0789001
34584,400796004,400796000,400796000,195,W NEWTON,ST,2,2116,102,CD,0,1999000,1999000,2106946,1915.0,1900,2000,1915.0,1915.0,2.0,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,N,T,6,3.0,4.0,0.0,S,S,S,F,S,F,C,0.0,N,G,A,42.3437096,-71.0789001
34597,400800002,400800000,400800000,203,W NEWTON,ST,1,2116,102,CD,0,2485200,2485200,2619401,2260.0,1875,2013,2260.0,2260.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,N,T,5,2.0,2.0,1.0,M,L,S,O,L,F,C,3.0,N,E,A,42.34382249999999,-71.07917669999999
34649,400839000,400839000,400839000,234,W NEWTON,ST,,2115,995,CM,0,0,0,0,1735.0,1899,2005,0.0,0.0,3.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,5.0,0.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.34420799999999,-71.08045469999999
34674,400845000,400845000,400845000,246,W NEWTON,ST,,2115,995,CM,0,0,0,0,1773.0,1900,2012,0.0,0.0,3.0,C,,,,,,,,,,,,,,,,,,,,,,,,RE,2.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3444632,-71.08075509999999
34684,400849000,400849000,400849000,106,ST BOTOLPH,ST,,2115,995,CM,0,0,0,0,1451.0,1880,2002,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,RM,2.0,0.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.344441,-71.0810319
34687,400850000,400850000,400850000,108,ST BOTOLPH,ST,,2115,995,CM,0,0,0,0,1451.0,1880,1988,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,RM,3.0,0.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.3444,-71.081081
34717,400880000,400880000,400880000,256,W NEWTON,ST,,2115,995,CM,0,0,0,0,1929.0,1885,2001,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,LR,4.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3448691,-71.0812741
34723,400882000,400882000,400882000,252,W NEWTON,ST,,2115,995,CM,0,0,0,0,3095.0,1899,2017,0.0,0.0,3.0,C,,,,,,,,,,,,,,,,,,,,,,,,RE,4.0,1.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.34480689999999,-71.08117299999999
34725,400882004,400882000,400882000,252,W NEWTON,ST,5-Feb,2115,102,CD,0,850700,850700,896638,945.0,1899,2000,945.0,945.0,3.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,N,F,6,2.0,2.0,0.0,M,M,,O,M,E,C,0.0,N,G,A,42.34480689999999,-71.08117299999999
34726,400882006,400882000,400882000,252,W NEWTON,ST,3,2115,102,CD,0,463500,463500,488529,503.0,1899,2000,450.0,450.0,1.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,N,F,3,1.0,1.0,0.0,M,,,O,M,W,N,0.0,N,G,A,42.34480689999999,-71.08117299999999
34727,400882008,400882000,400882000,252,W NEWTON,ST,4,2115,102,CD,0,494900,494900,521625,470.0,1899,2000,470.0,470.0,1.0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,N,F,3,1.0,1.0,0.0,M,,,O,M,W,C,0.0,N,G,A,42.34480689999999,-71.08117299999999
34732,400884000,400884000,400884000,109,ST BOTOLPH,ST,,2115,995,CM,0,0,0,0,2252.0,1880,2015,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,RM,2.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3445898,-71.0814278
34733,400884002,400884000,400884000,109,ST BOTOLPH,ST,1,2115,102,CD,0,1540100,1540100,1623266,1617.0,1880,2000,1617.0,1617.0,2.0,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,N,T,6,3.0,2.0,1.0,M,M,M,F,M,F,C,1.0,N,G,A,42.3445898,-71.0814278
34734,400884004,400884000,400884000,109,ST BOTOLPH,ST,2,2115,102,CD,0,2698000,2698000,2843692,2482.0,1880,2000,2482.0,2482.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,N,T,6,4.0,3.0,1.0,M,M,M,F,M,F,C,1.0,N,G,A,42.3445898,-71.0814278
34792,400922000,400922000,400922000,15,GARRISON,ST,,2116,995,CM,0,0,0,0,1408.0,1899,2016,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,9.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.345984,-71.0799311
34832,400933000,400933000,400933000,85,ST BOTOLPH,ST,,2116,995,CM,0,0,0,0,2136.0,1899,1999,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,4.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3453368,-71.0804485
34901,400951000,400951000,400951000,92,ST BOTOLPH,ST,,2116,995,CM,0,0,0,0,2048.0,1899,2008,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,5.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.345037,-71.0802561
35053,400980000,400980000,400980000,14,FOLLEN,ST,,2116,995,CM,0,0,0,0,1561.0,1890,2006,0.0,0.0,4.0,R,,,,,,,,,,,,,,,,,,,,,,,,RM,3.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.345106,-71.079543
35058,400982000,400982000,400982000,18,FOLLEN,ST,,2116,995,CM,0,0,0,0,1550.0,1899,2016,0.0,0.0,4.0,R,,,,,,,,,,,,,,,,,,,,,,,,RM,2.0,0.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.345034,-71.07943399999999
35066,400985200,400985200,400985000,100,HUNTINGTON,AV,,2116,995,CM,0,0,0,0,283633.0,1983,2018,1207117.0,1188108.0,10.0,A,,,,,,,,,,,,,,,,,,,,,,,,MR,0.0,3.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.3471447,-71.0773777
35072,401007000,401007000,401007000,41,ST BOTOLPH,ST,,2116,995,CM,0,0,0,0,2158.0,1899,2003,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,RM,3.0,0.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.346442,-71.079291
35254,401037800,401037800,401037800,772 -778,BOYLSTON,ST,,2116,995,CM,0,0,0,0,47399.0,2007,2014,0.0,0.0,14.0,A,,,,,,,,,,,,,,,,,,,,,,,,HR,35.0,4.0,0.0,B,E,,,,,,,,,,,,,,,,,,,,42.3490093,-71.0808519
35359,401053020,401053010,401053010,1,HUNTINGTON,AV,203,2116,102,CD,0,1606500,1606500,1693251,1584.0,1999,1999,1584.0,1584.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,Y,F,4,2.0,2.0,0.0,M,M,,O,M,W,C,0.0,E,E,G,42.3486982,-71.0782134
35360,401053022,401053010,401053010,1,HUNTINGTON,AV,204,2116,102,CD,0,2171500,2171500,2288761,2062.0,1999,1999,2062.0,2062.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,Y,F,5,2.0,2.0,1.0,M,M,M,O,M,W,C,0.0,E,E,G,42.3486982,-71.0782134
35361,401053024,401053010,401053010,1,HUNTINGTON,AV,205,2116,102,CD,0,809600,809600,853318,846.0,1999,1999,846.0,846.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,N,F,3,1.0,1.0,0.0,M,,,O,M,W,C,0.0,E,E,A,42.3486982,-71.0782134
35362,401053026,401053010,401053010,1,HUNTINGTON,AV,206,2116,102,CD,0,784800,784800,827179,806.0,1999,1999,806.0,806.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,N,F,3,1.0,1.0,0.0,M,,,O,M,W,C,0.0,E,E,A,42.3486982,-71.0782134
35363,401053028,401053010,401053010,1,HUNTINGTON,AV,207,2116,102,CD,0,808400,808400,852054,844.0,1999,1999,844.0,844.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,N,F,3,1.0,1.0,0.0,M,,,O,M,W,C,0.0,E,E,A,42.3486982,-71.0782134
35364,401053030,401053010,401053010,1,HUNTINGTON,AV,208,2116,102,CD,0,1496000,1496000,1576784,1595.0,1999,1999,1595.0,1595.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,N,F,4,2.0,2.0,0.0,L,M,,O,M,W,C,0.0,E,E,A,42.3486982,-71.0782134
35365,401053032,401053010,401053010,1,HUNTINGTON,AV,209,2116,102,CD,0,810500,810500,854267,833.0,1999,1999,833.0,833.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,Y,F,3,1.0,1.0,0.0,M,,,O,M,W,C,0.0,E,E,A,42.3486982,-71.0782134
35366,401053034,401053010,401053010,1,HUNTINGTON,AV,210,2116,102,CD,0,448500,448500,472719,405.0,1999,1999,405.0,405.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,N,F,2,0.0,1.0,0.0,S,,,P,S,W,C,0.0,N,E,A,42.3486982,-71.0782134
35367,401053036,401053010,401053010,1,HUNTINGTON,AV,301/314,2116,102,CD,0,1100800,1100800,1160243,1115.0,1999,2006,1115.0,1115.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,N,F,5,1.0,2.0,0.0,L,M,,O,M,W,C,0.0,E,E,A,42.3486982,-71.0782134
35369,401053040,401053010,401053010,1,HUNTINGTON,AV,303,2116,102,CD,0,1642300,1642300,1730984,1584.0,1999,1999,1584.0,1584.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,Y,F,4,2.0,2.0,0.0,M,M,,F,M,W,C,0.0,E,E,G,42.3486982,-71.0782134
35370,401053042,401053010,401053010,1,HUNTINGTON,AV,304,2116,102,CD,0,2171500,2171500,2288761,2062.0,1999,1999,2062.0,2062.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,Y,F,5,2.0,2.0,1.0,M,M,M,O,M,W,C,0.0,E,E,G,42.3486982,-71.0782134
35371,401053044,401053010,401053010,1,HUNTINGTON,AV,305,2116,102,CD,0,825400,825400,869972,846.0,1999,1999,846.0,846.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,N,F,3,1.0,1.0,1.0,M,M,,O,M,W,C,0.0,E,E,A,42.3486982,-71.0782134
35372,401053046,401053010,401053010,1,HUNTINGTON,AV,306,2116,102,CD,0,784800,784800,827179,806.0,1999,1999,806.0,806.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,N,F,3,1.0,1.0,0.0,M,,,O,M,W,C,0.0,E,E,A,42.3486982,-71.0782134
35373,401053048,401053010,401053010,1,HUNTINGTON,AV,307,2116,102,CD,0,808400,808400,852054,844.0,1999,1999,844.0,844.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,N,F,3,1.0,1.0,0.0,M,,,O,M,W,C,0.0,E,E,A,42.3486982,-71.0782134
35374,401053050,401053010,401053010,1,HUNTINGTON,AV,308,2116,102,CD,0,1490800,1490800,1571303,1595.0,1999,1999,1595.0,1595.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,N,F,4,2.0,2.0,0.0,M,M,,O,M,W,C,0.0,E,E,A,42.3486982,-71.0782134
35375,401053052,401053010,401053010,1,HUNTINGTON,AV,309,2116,102,CD,0,434400,434400,457858,436.0,1999,2012,436.0,436.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,Y,A,2,0.0,1.0,0.0,M,,,O,L,W,C,0.0,N,E,A,42.3486982,-71.0782134
35376,401053054,401053010,401053010,1,HUNTINGTON,AV,310,2116,102,CD,0,435900,435900,459439,465.0,1999,1999,465.0,465.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,Y,A,2,0.0,1.0,0.0,M,,,O,M,W,C,0.0,N,E,A,42.3486982,-71.0782134
35377,401053056,401053010,401053010,1,HUNTINGTON,AV,311,2116,102,CD,0,511400,511400,539016,433.0,1999,1999,433.0,433.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,N,A,2,1.0,1.0,0.0,M,,,O,M,W,C,0.0,N,E,A,42.3486982,-71.0782134
35378,401053058,401053010,401053010,1,HUNTINGTON,AV,312,2116,102,CD,0,406700,406700,428662,418.0,1999,1999,418.0,418.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,Y,A,2,0.0,1.0,0.0,M,,,O,M,W,C,0.0,N,E,A,42.3486982,-71.0782134
35379,401053060,401053010,401053010,1,HUNTINGTON,AV,313,2116,102,CD,0,779000,779000,821066,783.0,1999,1999,783.0,783.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,Y,F,3,1.0,1.0,0.0,M,,,O,M,W,C,0.0,E,E,A,42.3486982,-71.0782134
35380,401053064,401053010,401053010,1,HUNTINGTON,AV,401,2116,102,CD,0,787300,787300,829814,810.0,1999,1999,810.0,810.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,N,F,3,1.0,1.0,0.0,M,,,O,M,W,C,0.0,E,E,A,42.3486982,-71.0782134
35381,401053066,401053010,401053010,1,HUNTINGTON,AV,403,2116,102,CD,0,2373900,2373900,2502091,2111.0,1999,1999,2111.0,2111.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,Y,F,5,3.0,2.0,1.0,M,M,M,F,M,W,C,0.0,E,E,G,42.3486982,-71.0782134
35382,401053068,401053010,401053010,1,HUNTINGTON,AV,404,2116,102,CD,0,2576500,2576500,2715631,1905.0,1999,1999,1905.0,1905.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,Y,F,6,2.0,2.0,1.0,L,M,M,F,M,W,C,0.0,E,E,G,42.3486982,-71.0782134
35383,401053070,401053010,401053010,1,HUNTINGTON,AV,405,2116,102,CD,0,798400,798400,841514,828.0,1999,1999,828.0,828.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,N,F,3,1.0,1.0,0.0,M,,,O,M,W,C,0.0,E,E,A,42.3486982,-71.0782134
35384,401053072,401053010,401053010,1,HUNTINGTON,AV,406,2116,102,CD,0,768100,768100,809577,779.0,1999,1999,779.0,779.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,N,F,3,1.0,1.0,0.0,M,,,O,M,W,C,0.0,E,E,A,42.3486982,-71.0782134
35385,401053074,401053010,401053010,1,HUNTINGTON,AV,407,2116,102,CD,0,799100,799100,842252,829.0,1999,1999,829.0,829.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,N,F,3,1.0,1.0,0.0,M,,,O,M,W,C,0.0,E,E,A,42.3486982,-71.0782134
35386,401053076,401053010,401053010,1,HUNTINGTON,AV,408,2116,102,CD,0,1270300,1270300,1338896,1588.0,1999,1999,1588.0,1588.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,N,F,4,2.0,2.0,0.0,M,M,,O,M,W,C,0.0,N,G,A,42.3486982,-71.0782134
35387,401053078,401053010,401053010,1,HUNTINGTON,AV,409,2116,102,CD,0,437900,437900,461547,427.0,1999,1999,427.0,427.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,Y,A,2,0.0,1.0,0.0,M,,,O,M,W,C,0.0,E,E,A,42.3486982,-71.0782134
35388,401053080,401053010,401053010,1,HUNTINGTON,AV,410,2116,102,CD,0,498200,498200,525103,465.0,1999,1999,465.0,465.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,Y,A,2,0.0,1.0,0.0,M,,,O,S,W,C,0.0,E,G,A,42.3486982,-71.0782134
35389,401053082,401053010,401053010,1,HUNTINGTON,AV,411,2116,102,CD,0,516400,516400,544286,433.0,1999,1999,433.0,433.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,N,A,2,0.0,1.0,0.0,M,,,O,M,W,C,0.0,E,E,A,42.3486982,-71.0782134
35390,401053084,401053010,401053010,1,HUNTINGTON,AV,412,2116,102,CD,0,510800,510800,538383,418.0,1999,1999,418.0,418.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,Y,A,2,0.0,1.0,0.0,M,,,O,M,W,C,0.0,E,E,A,42.3486982,-71.0782134
35391,401053086,401053010,401053010,1,HUNTINGTON,AV,413,2116,102,CD,0,779000,779000,821066,783.0,1999,1999,783.0,783.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,Y,F,3,1.0,1.0,0.0,M,,,O,M,W,C,0.0,E,E,A,42.3486982,-71.0782134
35392,401053088,401053010,401053010,1,HUNTINGTON,AV,414,2116,102,CD,0,498700,498700,525630,405.0,1999,1999,405.0,405.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,N,F,2,0.0,1.0,0.0,M,,,O,M,W,C,0.0,E,E,A,42.3486982,-71.0782134
35393,401053090,401053010,401053010,1,HUNTINGTON,AV,501,2116,102,CD,0,2646300,2646300,2789200,1875.0,1999,1999,1875.0,1875.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,Y,T,5,3.0,2.0,1.0,L,M,M,O,L,W,C,0.0,E,E,S,42.3486982,-71.0782134
35394,401053092,401053010,401053010,1,HUNTINGTON,AV,502,2116,102,CD,0,1455500,1455500,1534097,1344.0,1999,1999,1344.0,1344.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,Y,F,4,2.0,2.0,0.0,M,M,,O,M,W,C,0.0,E,E,E,42.3486982,-71.0782134
35395,401053094,401053010,401053010,1,HUNTINGTON,AV,503,2116,102,CD,0,3389700,3389700,3572744,2702.0,1999,1999,2702.0,2702.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,Y,F,6,3.0,3.0,1.0,M,M,M,F,M,W,C,0.0,E,E,G,42.3486982,-71.0782134
35396,401053096,401053010,401053010,1,HUNTINGTON,AV,504,2116,102,CD,0,1266870,1266870,1335281,1220.0,1999,1999,1220.0,1220.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,N,F,4,2.0,2.0,0.0,M,M,,O,M,W,C,0.0,E,E,G,42.3486982,-71.0782134
35397,401053098,401053010,401053010,1,HUNTINGTON,AV,506,2116,102,CD,0,829300,829300,874082,836.0,1999,1999,836.0,836.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,Y,F,3,1.0,1.0,0.0,M,,,O,M,W,C,0.0,E,E,G,42.3486982,-71.0782134
35398,401053100,401053010,401053010,1,HUNTINGTON,AV,507,2116,102,CD,0,1287300,1287300,1356814,1339.0,1999,1999,1339.0,1339.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,Y,T,4,2.0,2.0,0.0,M,M,,O,M,W,C,0.0,E,E,G,42.3486982,-71.0782134
35399,401053102,401053010,401053010,1,HUNTINGTON,AV,601,2116,102,CD,0,2153300,2153300,2269578,1886.0,1999,1999,1886.0,1886.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,Y,T,6,3.0,2.0,1.0,L,M,M,O,M,W,C,0.0,E,E,E,42.3486982,-71.0782134
35400,401053104,401053010,401053010,1,HUNTINGTON,AV,602,2116,102,CD,0,1473900,1473900,1553491,1344.0,1999,2016,1344.0,1344.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,Y,F,4,2.0,2.0,0.0,M,M,,O,M,W,C,0.0,E,E,E,42.3486982,-71.0782134
35401,401053106,401053010,401053010,1,HUNTINGTON,AV,603,2116,102,CD,0,3294600,3294600,3472509,2702.0,1999,1999,2702.0,2702.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,Y,F,5,2.0,3.0,1.0,M,M,M,F,M,W,C,0.0,E,E,G,42.3486982,-71.0782134
35402,401053108,401053010,401053010,1,HUNTINGTON,AV,604,2116,102,CD,0,1205200,1205200,1270281,1222.0,1999,2015,1222.0,1222.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,N,F,4,2.0,2.0,0.0,L,M,,O,L,W,C,0.0,E,E,G,42.3486982,-71.0782134
35403,401053110,401053010,401053010,1,HUNTINGTON,AV,606,2116,102,CD,0,802350,802350,845677,836.0,1999,1999,836.0,836.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,Y,F,3,1.0,1.0,0.0,M,,,O,M,W,C,0.0,E,E,A,42.3486982,-71.0782134
35404,401053112,401053010,401053010,1,HUNTINGTON,AV,607,2116,102,CD,0,1366300,1366300,1440080,1339.0,1999,1999,1339.0,1339.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,Y,T,4,2.0,2.0,0.0,M,M,,O,M,W,C,0.0,E,E,G,42.3486982,-71.0782134
35405,401053114,401053010,401053010,1,HUNTINGTON,AV,701,2116,102,CD,0,2148000,2148000,2263992,1886.0,1999,1999,1886.0,1886.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,Y,T,6,3.0,2.0,1.0,M,M,M,O,M,W,C,0.0,E,E,E,42.3486982,-71.0782134
35406,401053116,401053010,401053010,1,HUNTINGTON,AV,702,2116,102,CD,0,1473900,1473900,1553491,1344.0,1999,1999,1344.0,1344.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,Y,F,4,2.0,2.0,0.0,M,M,,O,M,W,C,0.0,E,E,E,42.3486982,-71.0782134
35407,401053118,401053010,401053010,1,HUNTINGTON,AV,703,2116,102,CD,0,2943400,2943400,3102344,2702.0,1999,1999,2702.0,2702.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,Y,F,5,3.0,3.0,0.0,M,M,M,F,M,W,C,0.0,N,G,G,42.3486982,-71.0782134
35408,401053120,401053010,401053010,1,HUNTINGTON,AV,704,2116,102,CD,0,1151700,1151700,1213892,1220.0,1999,1999,1220.0,1220.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,N,F,4,2.0,2.0,0.0,M,M,,O,M,W,C,0.0,E,E,G,42.3486982,-71.0782134
35409,401053122,401053010,401053010,1,HUNTINGTON,AV,706,2116,102,CD,0,829300,829300,874082,836.0,1999,1999,836.0,836.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,Y,F,3,1.0,1.0,0.0,M,,,O,M,W,C,0.0,E,E,G,42.3486982,-71.0782134
35410,401053124,401053010,401053010,1,HUNTINGTON,AV,707,2116,102,CD,0,1287300,1287300,1356814,1339.0,1999,2015,1339.0,1339.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,Y,T,4,2.0,2.0,0.0,M,M,,O,M,W,C,0.0,E,E,G,42.3486982,-71.0782134
35411,401053126,401053010,401053010,1,HUNTINGTON,AV,801,2116,102,CD,0,2148000,2148000,2263992,1886.0,1999,1999,1886.0,1886.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,Y,T,6,3.0,2.0,1.0,M,M,M,O,M,W,C,0.0,E,E,E,42.3486982,-71.0782134
35412,401053128,401053010,401053010,1,HUNTINGTON,AV,802,2116,102,CD,0,1470100,1470100,1549485,1334.0,1999,1999,1334.0,1334.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,Y,F,4,2.0,2.0,0.0,L,M,,F,L,W,C,0.0,E,E,E,42.3486982,-71.0782134
35413,401053130,401053010,401053010,1,HUNTINGTON,AV,803,2116,102,CD,0,3407500,3407500,3591505,2702.0,1999,1999,2702.0,2702.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,Y,F,5,3.0,3.0,1.0,M,M,M,F,L,W,C,0.0,E,E,G,42.3486982,-71.0782134
35414,401053132,401053010,401053010,1,HUNTINGTON,AV,804,2116,102,CD,0,1203200,1203200,1268173,1220.0,1999,2008,1220.0,1220.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,N,F,4,2.0,2.0,0.0,L,M,,O,L,W,C,0.0,E,E,G,42.3486982,-71.0782134
35415,401053134,401053010,401053010,1,HUNTINGTON,AV,806,2116,102,CD,0,829300,829300,874082,836.0,1999,1999,836.0,836.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,Y,F,3,1.0,1.0,0.0,M,,,O,M,W,C,0.0,E,E,G,42.3486982,-71.0782134
35416,401053136,401053010,401053010,1,HUNTINGTON,AV,807,2116,102,CD,0,1287300,1287300,1356814,1339.0,1999,1999,1339.0,1339.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,Y,T,4,2.0,2.0,0.0,M,M,,O,M,W,C,0.0,E,E,G,42.3486982,-71.0782134
